Type,Start Date and Time,Duration,LAeq,L 90.0 %
15',06/09/2019 16:45,00:13:42,56.6,44.4
15',06/09/2019 17:00,00:15:00,56.5,46.5
15',06/09/2019 17:15,00:15:00,56.4,44.2
15',06/09/2019 17:30,00:15:00,56.6,45.6
15',06/09/2019 17:45,00:15:00,55.2,44.4
15',06/09/2019 18:00,00:15:00,56.4,45.9
15',06/09/2019 18:15,00:15:00,55.6,43.9
15',06/09/2019 18:30,00:15:00,53.2,41.7
15',06/09/2019 18:45,00:15:00,53.4,40.7
15',06/09/2019 19:00,00:15:00,54.4,42.2
15',06/09/2019 19:15,00:15:00,52.8,40.1
15',06/09/2019 19:30,00:15:00,53.4,40.4
15',06/09/2019 19:45,00:15:00,53.2,38.9
15',06/09/2019 20:00,00:15:00,52.1,36.6
15',06/09/2019 20:15,00:15:00,51.2,34.4
15',06/09/2019 20:30,00:15:00,49.7,35.8
15',06/09/2019 20:45,00:15:00,49.3,35.7
15',06/09/2019 21:00,00:15:00,47.4,33.5
15',06/09/2019 21:15,00:15:00,47.6,33.4
15',06/09/2019 21:30,00:15:00,49.1,32.8
15',06/09/2019 21:45,00:15:00,49.3,33.9
15',06/09/2019 22:00,00:15:00,49.1,33
15',06/09/2019 22:15,00:15:00,47,34.5
15',06/09/2019 22:30,00:15:00,50.5,35.6
15',06/09/2019 22:45,00:15:00,47.7,33.9
15',06/09/2019 23:00,00:15:00,48,33.5
15',06/09/2019 23:15,00:15:00,46.9,33.9
15',06/09/2019 23:30,00:15:00,47.9,34.7
15',06/09/2019 23:45,00:15:00,46.3,36.1
15',07/09/2019,00:15:00,50.1,35.1
15',07/09/2019 00:15,00:15:00,46.9,32.7
15',07/09/2019 00:30,00:15:00,44.3,31.8
15',07/09/2019 00:45,00:15:00,44.3,31.9
15',07/09/2019 01:00,00:15:00,36.5,33.1
15',07/09/2019 01:15,00:15:00,38.8,29.5
15',07/09/2019 01:30,00:15:00,40.4,27.9
15',07/09/2019 01:45,00:15:00,41.9,25.9
15',07/09/2019 02:00,00:15:00,27.3,26.1
15',07/09/2019 02:15,00:15:00,30.5,26
15',07/09/2019 02:30,00:15:00,26.9,25.8
15',07/09/2019 02:45,00:15:00,27.2,25.8
15',07/09/2019 03:00,00:15:00,30.2,26.9
15',07/09/2019 03:15,00:15:00,27.4,25.9
15',07/09/2019 03:30,00:15:00,32.3,25.9
15',07/09/2019 03:45,00:15:00,30.8,26.1
15',07/09/2019 04:00,00:15:00,27.5,25.3
15',07/09/2019 04:15,00:15:00,26.8,25.9
15',07/09/2019 04:30,00:15:00,30.8,25.5
15',07/09/2019 04:45,00:15:00,41.9,26.3
15',07/09/2019 05:00,00:15:00,36,25.7
15',07/09/2019 05:15,00:15:00,49.4,26.4
15',07/09/2019 05:30,00:15:00,43.7,26.9
15',07/09/2019 05:45,00:15:00,45.8,30.3
15',07/09/2019 06:00,00:15:00,44.9,31.4
15',07/09/2019 06:15,00:15:00,48.2,34.2
15',07/09/2019 06:30,00:15:00,44.3,34.1
15',07/09/2019 06:45,00:15:00,48.7,33.2
15',07/09/2019 07:00,00:15:00,48.6,32.9
